date_x,home_team_x,away_team_x,home_score,away_score,tournament,city,country,neutral,key,date_y,home_team_y,away_team_y,winner,first_shooter
1999-07-31,Namibia,South Africa,1,1,COSAFA Cup,Windhoek,Namibia,False,1999-07-31_Namibia_South Africa,1999-07-31,Namibia,South Africa,Namibia,unknown
1999-08-07,Zambia,Mozambique,1,1,COSAFA Cup,Lusaka,Zambia,False,1999-08-07_Zambia_Mozambique,1999-08-07,Zambia,Mozambique,Zambia,unknown
1999-08-28,Namibia,Eswatini,1,1,COSAFA Cup,Windhoek,Namibia,False,1999-08-28_Namibia_Eswatini,1999-08-28,Namibia,Eswatini,Namibia,unknown
2000-02-04,Romania,Georgia,1,1,Cyprus International Tournament,Larnaca,Cyprus,True,2000-02-04_Romania_Georgia,2000-02-04,Romania,Georgia,Romania,unknown
2000-04-30,British Virgin Islands,Antigua and Barbuda,1,1,Friendly,Road Town,British Virgin Islands,False,2000-04-30_British Virgin Islands_Antigua and Barbuda,2000-04-30,British Virgin Islands,Antigua and Barbuda,Antigua and Barbuda,unknown
2000-05-10,Maldives,Sri Lanka,1,1,Friendly,Malé,Maldives,False,2000-05-10_Maldives_Sri Lanka,2000-05-10,Maldives,Sri Lanka,Sri Lanka,unknown
2000-05-21,Barbados,Cuba,1,1,FIFA World Cup qualification,Bridgetown,Barbados,False,2000-05-21_Barbados_Cuba,2000-05-21,Barbados,Cuba,Barbados,unknown
2000-06-07,Iran,Egypt,1,1,Friendly,Tehran,Iran,False,2000-06-07_Iran_Egypt,2000-06-07,Iran,Egypt,Egypt,unknown
2000-10-04,United Arab Emirates,South Korea,1,1,United Arab Emirates Friendship Tournament,Dubai,United Arab Emirates,False,2000-10-04_United Arab Emirates_South Korea,2000-10-04,United Arab Emirates,South Korea,United Arab Emirates,unknown
2000-10-28,Kenya,Uganda,1,1,Friendly,Nairobi,Kenya,False,2000-10-28_Kenya_Uganda,2000-10-28,Kenya,Uganda,Uganda,unknown
2000-12-02,Ethiopia,Rwanda,1,1,Friendly,Kampala,Uganda,True,2000-12-02_Ethiopia_Rwanda,2000-12-02,Ethiopia,Rwanda,Ethiopia,unknown
